2025-11-06 14:34:27,090 | INFO    | wait | Iniciando browser.
2025-11-06 14:34:28,604 | INFO    | wait | Acessando URL: http://rb3qraa0.server.bosch.com:8001/sap/bc/gui/sap/its/webgui/#
2025-11-06 14:34:40,012 | INFO    | wait | Página estável.
2025-11-06 14:34:40,200 | INFO    | wait | Abrindo transação: LI11N
2025-11-06 14:34:40,220 | INFO    | wait | Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:34:41,767 | INFO    | wait | [STEP] Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:34:43,037 | INFO    | wait | OK: Status livre
2025-11-06 14:34:43,079 | INFO    | wait | [STEP] Estado estável pós-ação
2025-11-06 14:34:44,020 | INFO    | wait | Consultando view dbo.vw_PowerBI_DataTable no SQL Server...
2025-11-06 14:34:46,145 | INFO    | wait | Lendo template de referência: \\ca0vm0126\FONTES\Python\Projeto_Inventário\Template_RPA.xlsx
2025-11-06 14:34:51,065 | WARNING | wait | Nem todas as colunas esperadas existem no template para o merge completo.
2025-11-06 14:34:51,127 | INFO    | wait | Total de registros carregados do DB: 296
2025-11-06 14:34:51,225 | INFO    | wait | Fluxo concluído com sucesso.
2025-11-06 14:34:51,257 | INFO    | wait | Pausa final de 12.0s para visualização.
2025-11-06 14:36:51,293 | INFO    | wait | Encerrando sessão.
2025-11-06 14:37:37,626 | INFO    | wait | Iniciando browser.
2025-11-06 14:37:39,049 | INFO    | wait | Acessando URL: http://rb3qraa0.server.bosch.com:8001/sap/bc/gui/sap/its/webgui/#
2025-11-06 14:37:50,197 | INFO    | wait | Página estável.
2025-11-06 14:37:50,382 | INFO    | wait | Abrindo transação: LI11N
2025-11-06 14:37:50,435 | INFO    | wait | Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:37:51,983 | INFO    | wait | [STEP] Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:37:53,258 | INFO    | wait | OK: Status livre
2025-11-06 14:37:53,288 | INFO    | wait | [STEP] Estado estável pós-ação
2025-11-06 14:37:54,173 | INFO    | wait | Consultando view dbo.vw_PowerBI_DataTable (filtrando Deposito = 'H0A')...
2025-11-06 14:37:55,835 | INFO    | wait | Lendo template de referência: \\ca0vm0126\FONTES\Python\Projeto_Inventário\Template_RPA.xlsx
2025-11-06 14:38:00,336 | WARNING | wait | Nem todas as colunas esperadas existem no template para o merge completo.
2025-11-06 14:38:00,376 | INFO    | wait | Total de registros carregados do DB: 0
2025-11-06 14:38:00,437 | WARNING | wait | Nenhum registro retornado do banco. Encerrando fluxo.
2025-11-06 14:38:00,476 | INFO    | wait | Fluxo concluído com sucesso.
2025-11-06 14:38:00,505 | INFO    | wait | Pausa final de 12.0s para visualização.
2025-11-06 14:40:00,542 | INFO    | wait | Encerrando sessão.
2025-11-06 14:41:12,149 | INFO    | wait | Iniciando browser.
2025-11-06 14:41:13,628 | INFO    | wait | Acessando URL: http://rb3qraa0.server.bosch.com:8001/sap/bc/gui/sap/its/webgui/#
2025-11-06 14:41:28,966 | INFO    | wait | Página estável.
2025-11-06 14:41:29,162 | INFO    | wait | Abrindo transação: LI11N
2025-11-06 14:41:29,183 | INFO    | wait | Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:41:30,732 | INFO    | wait | [STEP] Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:41:32,011 | INFO    | wait | OK: Status livre
2025-11-06 14:41:32,054 | INFO    | wait | [STEP] Estado estável pós-ação
2025-11-06 14:41:32,935 | INFO    | wait | Consultando view dbo.vw_PowerBI_DataTable (filtrando Tipo Deposito = 'H0A')...
2025-11-06 14:41:34,513 | INFO    | wait | Registros retornados (Tipo Deposito=H0A): 14
2025-11-06 14:41:34,551 | INFO    | wait | Exemplos TipoDeposito: ['H0A']
2025-11-06 14:41:34,587 | INFO    | wait | Lendo template de referência: \\ca0vm0126\FONTES\Python\Projeto_Inventário\Template_RPA.xlsx
2025-11-06 14:41:44,162 | WARNING | wait | Merge parcial. Colunas disponíveis: ['Centro', 'Material']
2025-11-06 14:41:44,209 | INFO    | wait | Total de registros carregados do DB: 14
2025-11-06 14:41:44,304 | INFO    | wait | Fluxo concluído com sucesso.
2025-11-06 14:41:44,333 | INFO    | wait | Pausa final de 12.0s para visualização.
2025-11-06 14:43:44,367 | INFO    | wait | Encerrando sessão.
2025-11-06 14:44:05,955 | INFO    | wait | Iniciando browser.
2025-11-06 14:44:07,468 | INFO    | wait | Acessando URL: http://rb3qraa0.server.bosch.com:8001/sap/bc/gui/sap/its/webgui/#
2025-11-06 14:44:20,755 | INFO    | wait | Página estável.
2025-11-06 14:44:20,931 | INFO    | wait | Abrindo transação: LI11N
2025-11-06 14:44:20,968 | INFO    | wait | Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:44:22,495 | INFO    | wait | [STEP] Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:44:23,783 | INFO    | wait | OK: Status livre
2025-11-06 14:44:23,820 | INFO    | wait | [STEP] Estado estável pós-ação
2025-11-06 14:44:24,733 | INFO    | wait | Consultando view dbo.vw_PowerBI_DataTable (filtrando Tipo Deposito = 'H0A')...
2025-11-06 14:44:25,997 | INFO    | wait | Registros retornados (Tipo Deposito=H0A): 14
